timestampNs,gnssAvailable,mode,lat,lon,speedMps,bearingDegrees,covarianceRadius95M,acceptedFixAgeSeconds,rejectedFixes,discontinuities
530000000,false,GNSS_AIDED,28.000046764723507,77.0,10.0,0.0,8.039504660562105,0.52,0,0
540000000,false,GNSS_AIDED,28.000047664045113,77.0,10.0,0.0,8.13722543598879,0.53,0,0
550000000,false,GNSS_AIDED,28.000048563366718,77.0,10.0,0.0,8.235624326952502,0.54,0,0
560000000,false,GNSS_AIDED,28.000049462688324,77.0,10.0,0.0,8.334677817730297,0.55,0,0
570000000,false,GNSS_AIDED,28.000050362009933,77.0,10.0,0.0,8.434363346487881,0.56,0,0
580000000,false,GNSS_AIDED,28.00005126133154,77.0,10.0,0.0,8.534659266944628,0.57,0,0
590000000,false,GNSS_AIDED,28.000052160653144,77.0,10.0,0.0,8.635544811112869,0.58,0,0
600000000,false,GNSS_AIDED,28.00005305997475,77.0,10.0,0.0,8.737000053159244,0.59,0,0
610000000,false,GNSS_AIDED,28.000053959296356,77.0,10.0,0.0,8.83900587442134,0.6,0,0
620000000,false,GNSS_AIDED,28.00005485861796,77.0,10.0,0.0,8.941543929600488,0.61,0,0
630000000,false,GNSS_AIDED,28.000055757939567,77.0,10.0,0.0,9.044596614140888,0.62,0,0
640000000,false,GNSS_AIDED,28.000056657261172,77.0,10.0,0.0,9.148147032796265,0.63,0,0
650000000,false,GNSS_AIDED,28.000057556582778,77.0,10.0,0.0,9.252178969377658,0.64,0,0
660000000,false,GNSS_AIDED,28.000058455904384,77.0,10.0,0.0,9.356676857669608,0.65,0,0
670000000,false,GNSS_AIDED,28.00005935522599,77.0,10.0,0.0,9.461625753496792,0.66,0,0
680000000,false,GNSS_AIDED,28.000060254547595,77.0,10.0,0.0,9.567011307918884,0.67,0,0
690000000,false,GNSS_AIDED,28.000061153869204,77.0,10.0,0.0,9.672819741527968,0.68,0,0
700000000,false,GNSS_AIDED,28.00006205319081,77.0,10.0,0.0,9.779037819820172,0.69,0,0
710000000,false,GNSS_AIDED,28.000062952512415,77.0,10.0,0.0,9.885652829611052,0.7,0,0
720000000,false,GNSS_AIDED,28.00006385183402,77.0,10.0,0.0,9.992652556462822,0.71,0,0
730000000,false,GNSS_AIDED,28.000064751155627,77.0,10.0,0.0,10.100025263090325,0.72,0,0
740000000,false,GNSS_AIDED,28.000065650477232,77.0,10.0,0.0,10.207759668712061,0.73,0,0
750000000,false,GNSS_AIDED,28.000066549798838,77.0,10.0,0.0,10.315844929312224,0.74,0,0
760000000,false,GNSS_AIDED,28.000067449120444,77.0,10.0,0.0,10.424270618779591,0.75,0,0
770000000,false,GNSS_AIDED,28.00006834844205,77.0,10.0,0.0,10.533026710889342,0.76,0,0
780000000,false,GNSS_AIDED,28.000069247763655,77.0,10.0,0.0,10.642103562094203,0.77,0,0
790000000,false,GNSS_AIDED,28.00007014708526,77.0,10.0,0.0,10.751491895091856,0.78,0,0
800000000,false,GNSS_AIDED,28.000071046406866,77.0,10.0,0.0,10.861182783136238,0.79,0,0
810000000,false,GNSS_AIDED,28.000071945728475,77.0,10.0,0.0,10.97116763506104,0.8,0,0
820000000,false,GNSS_AIDED,28.00007284505008,77.0,10.0,0.0,11.081438180984623,0.81,0,0
