timestampNs,gnssAvailable,mode,lat,lon,speedMps,bearingDegrees,covarianceRadius95M,acceptedFixAgeSeconds,rejectedFixes,discontinuities
0,true,GNSS_AIDED,12.0,77.0,5.3,0.0,4.895303872079853,0.0,0,0
100000000,true,GNSS_AIDED,12.000004767126319,77.00000000244029,5.30210116737259,0.057349560208990624,3.4637449973367533,0.0,0,0
200000000,true,GNSS_AIDED,12.000009536115972,77.00000000976277,5.30432652544632,0.11470447058837863,2.8323236052098095,0.0,0,0
300000000,true,GNSS_AIDED,12.000014306977668,77.00000002197442,5.306547364884503,0.17207760229547375,2.4583762896433767,0.0,0,0
400000000,true,GNSS_AIDED,12.000019079701696,77.00000003908215,5.308751469007906,0.22946854777035242,2.2054278703936587,0.0,0,0
500000000,true,GNSS_AIDED,12.000023854273932,77.00000006109279,5.310933943416125,0.2868764694887318,2.0208002654929107,0.0,0,0
600000000,true,GNSS_AIDED,12.000028630678065,77.000000088013,5.313092828024571,0.3443003859492819,1.8792820037365725,0.0,0,0
700000000,true,GNSS_AIDED,12.00003340889728,77.00000011984926,5.3152280841925625,0.40173924904769365,1.7670868981888703,0.0,0,0
800000000,true,GNSS_AIDED,12.00003818891557,77.00000015660791,5.31734098879481,0.4591919926339756,1.6759493991080245,0.0,0,0
900000000,true,GNSS_AIDED,12.000042970718509,77.00000019829513,5.319433631499794,0.516657570999655,1.6005641798274202,0.0,0,0
1000000000,true,GNSS_AIDED,12.00004775429362,77.00000024491695,5.321508503458625,0.5741349897739383,1.5373406761964157,0.0,0,0
1100000000,true,GNSS_AIDED,12.000052539630394,77.00000029647929,5.32356819018278,0.631623327121531,1.483743258977668,0.0,0,0
1200000000,true,GNSS_AIDED,12.000057326720095,77.00000035298793,5.325615166324774,0.68912174522643,1.4379177310012976,0.0,0,0
1300000000,true,GNSS_AIDED,12.000062115555465,77.00000041444851,5.327651676443947,0.746629491130534,1.3984683330354393,0.0,0,0
1400000000,true,GNSS_AIDED,12.000066906130415,77.0000004808666,5.329679680225206,0.8041458902326326,1.3643185878885367,0.0,0,0
1500000000,true,GNSS_AIDED,12.000071698439713,77.00000055224764,5.331700841223061,0.8616703322358035,1.3346211261750334,0.0,0,0
1600000000,true,GNSS_AIDED,12.00007649247874,77.00000062859694,5.333716541970293,0.9192022542356995,1.3086973053016595,0.0,0,0
1700000000,true,GNSS_AIDED,12.000081288243265,77.00000070991969,5.335727912913555,0.9767411222773035,1.285995592475997,0.0,0,0
